country,state,city,station,pollutant_id,pollutant_avg,KMeans,Agglo,DBSCAN,Anomaly
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",PM10,78.0,3,0,-1,1
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",NO2,51.0,0,3,-1,1
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",PM10,166.0,1,0,-1,1
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",CO,103.0,4,2,-1,1
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",NO2,54.0,0,3,-1,1
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",CO,50.0,0,3,-1,1
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",SO2,18.0,2,3,-1,1
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",OZONE,28.0,0,3,-1,1
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",PM10,62.0,0,2,-1,1
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",PM10,80.0,4,3,-1,1
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",OZONE,12.0,2,1,-1,1
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amaravati - MPCB",OZONE,49.0,0,3,-1,1
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",PM10,105.0,4,2,-1,1
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",OZONE,49.0,0,3,-1,1
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",PM10,49.029335912314636,0,3,-1,1
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",NH3,9.0,2,1,-1,1
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",OZONE,49.029335912314636,0,3,-1,1
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",CO,14.0,2,3,-1,1
India,Madhya Pradesh,Satna,"Bandhavgar Colony, Satna - Birla Cement",CO,61.0,0,3,-1,1
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",PM10,105.0,3,4,-1,1
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",NO2,63.0,4,2,-1,1
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",PM10,109.0,4,2,-1,1
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",NO2,49.029335912314636,0,3,-1,1
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",OZONE,2.0,2,1,-1,1
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",PM2.5,204.0,1,0,-1,1
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",SO2,17.0,2,1,-1,1
India,Madhya Pradesh,Satna,"Bandhavgar Colony, Satna - Birla Cement",PM2.5,48.0,0,3,-1,1
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",NH3,4.0,2,1,-1,1
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",NO2,42.0,0,3,-1,1
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",PM10,108.0,4,2,-1,1
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",NO2,38.0,0,3,-1,1
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",NH3,4.0,2,1,-1,1
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",PM10,93.0,4,2,-1,1
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",OZONE,36.0,0,3,-1,1
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",SO2,49.029335912314636,0,3,-1,1
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",SO2,21.0,2,1,-1,1
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",PM10,92.0,4,2,-1,1
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",NH3,5.0,2,1,-1,1
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",SO2,34.0,0,3,-1,1
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",CO,11.0,2,1,-1,1
