country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",14-03-2025 10:00,13.029152,77.585901,OZONE,5,25,7
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",14-03-2025 10:00,12.920984,77.584908,PM10,34,82,57
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",14-03-2025 10:00,28.593883,76.270653,PM10,51,137,104
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",14-03-2025 10:00,28.593883,76.270653,CO,10,25,14
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",14-03-2025 10:00,28.4227,77.0667,SO2,3,37,26
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",14-03-2025 10:00,28.4227,77.0667,CO,23,91,80
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",14-03-2025 10:00,30.943887,76.801991,NH3,2,5,3
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",14-03-2025 10:00,23.80569,86.44268,PM10,73,293,157
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",14-03-2025 10:00,12.9135218,77.5950804,PM10,30,94,60
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",14-03-2025 10:00,28.376058,77.315741,PM10,52,74,59
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",14-03-2025 10:00,13.029152,77.585901,PM10,38,102,59
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",14-03-2025 10:00,13.0246342,77.5080115,NH3,2,2,2
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",14-03-2025 10:00,12.917348,77.622813,SO2,5,11,8
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",14-03-2025 10:00,12.917348,77.622813,OZONE,1,30,7
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB",14-03-2025 10:00,17.930306,77.482194,CO,NA,NA,NA
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",14-03-2025 10:00,11.55358,76.55521,PM2.5,NA,NA,NA
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",14-03-2025 10:00,11.55358,76.55521,NO2,NA,NA,NA
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",14-03-2025 10:00,11.55358,76.55521,SO2,NA,NA,NA
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",14-03-2025 10:00,13.428828,77.731418,PM10,30,200,87
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",14-03-2025 10:00,13.428828,77.731418,NO2,13,26,19
India,Karnataka,Hassan,"B.Katihalli, Hassan - KSPCB",14-03-2025 10:00,13.008556,76.125258,NO2,9,21,12
India,Karnataka,Hassan,"B.Katihalli, Hassan - KSPCB",14-03-2025 10:00,13.008556,76.125258,CO,1,3,2
India,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB",14-03-2025 10:00,14.7918,75.3896,PM10,37,47,42
India,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB",14-03-2025 10:00,14.7918,75.3896,NH3,4,7,5
India,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB",14-03-2025 10:00,14.7918,75.3896,OZONE,NA,NA,NA
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",14-03-2025 10:00,15.3714823,75.1160168,PM10,48,53,50
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",14-03-2025 10:00,17.336318,76.847397,PM2.5,52,70,69
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",14-03-2025 10:00,17.336318,76.847397,PM10,NA,NA,NA
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",14-03-2025 10:00,17.336318,76.847397,NH3,3,3,3
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB",14-03-2025 10:00,14.816666,74.141003,PM10,NA,NA,NA
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",14-03-2025 10:00,14.4758,75.9052,PM2.5,17,81,52
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",14-03-2025 10:00,14.4758,75.9052,PM10,32,85,57
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",14-03-2025 10:00,15.459706,75.008381,PM10,54,98,67
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",14-03-2025 10:00,15.459706,75.008381,CO,42,144,56
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",14-03-2025 10:00,15.3714823,75.1160168,NH3,1,3,2
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",14-03-2025 10:00,17.321993,76.822628,PM2.5,NA,NA,NA
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",14-03-2025 10:00,12.990328,77.5431385,SO2,6,8,7
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",14-03-2025 10:00,12.990328,77.5431385,CO,23,101,39
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",14-03-2025 10:00,13.428828,77.731418,SO2,10,32,16
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",14-03-2025 10:00,13.428828,77.731418,OZONE,23,24,24
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",14-03-2025 10:00,12.920984,77.584908,NH3,1,1,1
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",14-03-2025 10:00,12.921418,77.502466,PM10,NA,NA,NA
India,Karnataka,Udupi,"Brahmagiri, Udupi - KSPCB",14-03-2025 10:00,13.34194444,74.74694444,SO2,NA,NA,NA
India,Karnataka,Udupi,"Brahmagiri, Udupi - KSPCB",14-03-2025 10:00,13.34194444,74.74694444,OZONE,NA,NA,NA
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",14-03-2025 10:00,16.7602,77.1428,SO2,7,48,18
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",14-03-2025 10:00,10.073232,76.302765,PM2.5,43,66,53
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",14-03-2025 10:00,8.8787,76.6073,CO,14,19,16
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",14-03-2025 10:00,8.5637,76.8865,SO2,1,9,4
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",14-03-2025 10:00,8.5149093,76.9435879,PM2.5,21,500,272
India,Karnataka,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",14-03-2025 10:00,13.1276288,78.1570122,SO2,NA,NA,NA
India,Karnataka,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",14-03-2025 10:00,13.1276288,78.1570122,CO,62,99,70
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",14-03-2025 10:00,15.34763,76.181767,CO,36,60,57
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",14-03-2025 10:00,13.94,75.555917,NH3,2,3,2
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",14-03-2025 10:00,13.94,75.555917,SO2,1,6,4
